machine_id,machine_name,normal_odds,right_odds,entry_rate,continuation_rate,upper_rate,source_url,verified_at,note
102,ＰＡ大海物語５ＡＲＢＣ,1/99.9,1/19.5,ST 100%,,約80.5%,https://www.p-world.co.jp/machine/database/9833,2026-08-21,ハピネスチャンス継続率
1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ,約1/319.6,約1/31.9,確変 60%,,,https://www.p-world.co.jp/machine/database/10321,2026-08-21,通常大当り後は時短100回
956,ｅ東京喰種Ｗ,図柄 約1/399.9,約1/95.3,約51%,約75%,,https://www.p-world.co.jp/machine/database/10249,2026-08-21,チャージ込み合算は約1/199.9
1397,ｅ新世紀エヴァンゲリオン１７,図柄 約1/399.9,約1/99.6,約61.4%,約80%,,https://www.p-world.co.jp/machine/database/10353,2026-08-21,チャージ込み大当り約1/349.9
1353,ｅ北斗の拳１１暴凶星ＳＨＥＦ,1/399.8,1/10.7,約61%,約75%,,https://www.p-world.co.jp/machine/database/10359,2026-08-21,RUSHはST10回+残保留4個
818,ｅソードアート・オンライン~閃光の軌跡~Ｋ７,約1/199.9,約1/59.9,70%,約60%,約90%,https://www.p-world.co.jp/machine/database/10150,2026-08-21,上位はLIGHTNING RUSH
1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,約1/51.6,50.0%,約65%,約75%,https://www.p-world.co.jp/machine/database/10492,2026-08-21,上位はWar of Underworld
233,ｅぱちんこソードアート・オンラインＫ１２,約1/319.9,約1/97.7,約64%,約81%+α,,https://www.p-world.co.jp/machine/database/9893,2026-08-21,ST155回+残保留
452,Ｐ新世紀エヴァンゲリオン１５未来への咆哮Ｙ,1/129.8,1/35.7,約50%,約81%,,https://www.p-world.co.jp/machine/database/9993,2026-08-21,PREMIUM MODEL
1294,Ｐ／Ｒｅ：ゼロ鬼がかりｖｅｒ／Ａ０３,1/99.9,1/79.9,50%,約73%,,https://www.p-world.co.jp/machine/database/10364,2026-08-21,RUSH中は大当り・時短図柄合算
1632,Ｐ／Ｒｅ：ゼロ鬼がかりｖｅｒ／Ｌ０７,1/199.8,1/105.9,55%,約75%,,https://www.p-world.co.jp/machine/database/10363,2026-08-21,RUSH中は大当り・時短図柄合算
1469,Ｐ戦国乙女７Ｌ０ＹＵ１,1/99.9,約1/47.3,約63%,約75%,約94%,https://g-net-ps.com/info/p0517/,2026-08-21,強カワ99ver.;上位中は約1/52.5
1620,Ｐ戦国乙女７Ｈ０ＹＺ３,約1/299.2,約1/38.2,約53%,約77%,約90%,https://g-net-ps.com/info/p0458/,2026-08-21,上位中図柄揃い約1/44.9
904,ＰＡ大海物語５ＨＬＤ,約1/99.9,約1/41.0,ST 70%,約61.7%,約93.3%,https://g-net-ps.com/info/p0387/,2026-08-21,ブラックLT99ver.
403,Ｐ大海物語５ＨＣＬ,約1/199.8,約1/44.0,ST 100%,約71.1%,約87.3%,https://p-town.dmm.com/machines/4444/shops,2026-08-21,大海物語5 ブラック
1560,Ｐ大海物語５ＭＴＥ２,約1/319.6,約1/31.9,確変 60%,,,https://p-town.dmm.com/machines/4293/shops,2026-08-21,確変ループタイプ
1612,ＰＡスーパー海物語ＩＮ沖縄６ＲＢＤ,約1/99.9,約1/9.9,ST 100%,,約82%,https://www.p-world.co.jp/machine/database/10462,2026-08-21,Withえなこ;上位はジンベェタイム
1355,ＰＡ海物語極ジャパンＨＢＤ,約1/99.9,,,,,https://g-net-ps.com/wp-content/uploads/2025/10/23b5137fc61d0e2fe88d8272c79c42aa.pdf,2026-08-21,確認できた公表値のみ掲載
97,Ｐ大海物語４スペシャルＳＣＡ,約1/199.8,約1/40.6,ST 100%,約72%,,https://pachinko-spec.info/spec-detail/24690/,2026-08-21,ST51回+残保留
104,Ｐ新世紀エヴァンゲリオン１５ 未来への咆哮,約1/319.7,約1/99.4,約70%,約81%,,https://www.p-world.co.jp/machine/database/9509,2026-08-21,ST突入割合59%+時短引戻し等を含む約70%
127,Ｐフィーバー戦姫絶唱シンフォギア 黄金絶唱Ｎ,1/199.8,約1/7.8,,,,https://www.sankyo-fever.jp/collection/934/,2026-08-21,シンフォギア3黄金絶唱
495,ＰＡフィーバーパワフルＲ,1/99.9,1/12.0,,,,https://www.p-world.co.jp/machine/database/9984,2026-08-21,PFパワフル2024年
497,Ｐ北斗の拳強敵ＳＳＰＡ,約1/99.9,約1/45.2,50%,約70%,約95%,https://www.p-world.co.jp/machine/database/9971,2026-08-21,上位はHYPER強敵RUSH
562,Ｐフィーバー炎炎ノ消防隊ＹＲ,1/129.9,約1/50.5,約70%,約50%,約88%,https://www.sankyo-fever.jp/products/machine_list/pbc/spec/,2026-08-21,Light ver.;上位は超炎上RUSH最大継続率
764,Ｐとある魔術の禁書目録２ＪＭＺ,1/319.6,1/99.9,70%,約77%,,https://www.youtube.com/watch?v=xGPkKEirdu0,2026-08-21,ロングST144回
866,シン・エヴァンゲリオン １２９ ＬＴ ｖｅｒ．,約1/129.8,約1/54.4,約50%,約70%,約91%,https://www.p-world.co.jp/machine/database/10206,2026-08-21,上位はシン・IMPACT RUSH LT
1009,Ｐデジハネ北斗の拳慈母ＳＳＰＣ,約1/79.9,約1/7.99,ST 100%,,約94%,https://pachiseven.jp/machines/7142/cutout/2,2026-08-21,ST5回;上位LT継続率
1165,ｅ牙狼１２ＸＸ－ＭＪ,図柄 約1/437,,50%,約76%,,https://www.youtube.com/watch?v=NQoflQTetgo,2026-08-21,大当り確率約1/349;図柄揃い時の極限7500バトル突入率50%
